,Nome,Idade,Cidade,Orgao1,Demanda1,Orgao2,Demanda2
11,Ravi da Mota,18,"Viaduto Enrico Correia
Vila Sumaré
96538-274 Dias de Rodrigues / AM",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,detran,PRIMEIRA HABILITAÇÃO
12,Cauê Garcia,30,"Trecho Barbosa, 27
Antonio Ribeiro De Abreu 1ª Seção
14882889 Barros / PA",cinep,Concessão de Incentivo Fiscal a Empresas,detran,RENOVAÇÃO DA CNH SIMPLES
13,José Pedro Gomes,44,"Ladeira Guerra, 89
Jardim Do Vale
79845-496 Cavalcanti do Sul / RR",cinep,Concessão de Incentivo Locacional a Empresas,detran,INDICAÇÃO DE CONDUTOR INFRATOR
14,Olivia Castro,34,"Vereda de Costa
Madre Gertrudes
12068-279 Abreu / AP",sudema,Licença por Adesão e Compromisso,cinep,Concessão de Incentivo Locacional a Empresas
15,Cecilia Mendes,41,"Lago Evelyn Pereira, 87
Etelvina Carneiro
65387-310 Câmara da Prata / AC",detran,PRIMEIRA HABILITAÇÃO,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
16,Camila Fernandes,36,"Vale de Vargas, 300
Vila Rica
72529-237 Teixeira Grande / MT",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
17,Luiz Otávio Fogaça,44,"Esplanada de Fonseca, 155
Vila Primeiro De Maio
20766499 Nunes / SP",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
18,Gabriela Lopes,35,"Sítio de Fogaça, 2
Parque São José
68119-954 Lima / PB",cagepa,ATUALIZAÇÃO CADASTRAL,detran,INDICAÇÃO DE CONDUTOR INFRATOR
19,Ana Carolina Monteiro,29,"Via Ana Vitória Casa Grande, 40
Salgado Filho
31472384 da Luz das Flores / MA",cagepa,LIGAÇÃO DE ÁGUA,cinep,Concessão de Incentivo Fiscal a Empresas
20,Francisco Monteiro,38,"Residencial Alícia da Luz, 85
Gameleira
10284599 Cavalcante Paulista / GO",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,cagepa,ATUALIZAÇÃO CADASTRAL
21,Caroline da Mota,26,"Via Anthony Gabriel Carvalho, 88
Pompéia
44373771 da Paz / PI",detran,PRIMEIRA HABILITAÇÃO,cagepa,LIGAÇÃO DE ÁGUA
22,Olivia Azevedo,60,"Estação de Câmara, 94
Vila Rica
83609-249 Abreu / RS",cbmpb,Socorro de Emergências,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
23,Alana Ferreira,18,"Rua de Santos, 750
Vila Califórnia
01292-483 Pinto da Mata / BA",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,cinep,Concessão de Incentivo Locacional a Empresas
24,Sra. Rafaela Garcia,30,"Vale de Pastor, 21
Jardim Montanhês
18146-529 Caldeira da Serra / PI",cinep,Concessão de Incentivo Fiscal a Empresas,cinep,Concessão de Incentivo Locacional a Empresas
25,Emanuel Porto,37,"Trevo Luna Santos, 47
Universitário
99464-291 Machado / CE",cbmpb,Socorro de Emergências,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
26,Mateus Guerra,22,"Quadra Vitor Fernandes, 4
Xangri-Lá
49291-582 Silveira / CE",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
27,Paulo Carvalho,39,"Viaduto João Pedro Nogueira
Trevo
41644-843 Melo / CE",cagepa,LIGAÇÃO DE ÁGUA,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
28,Eloah Vieira,29,"Praça de Moura
Palmeiras
49222-460 Silva / RO",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,funade,Serviço de Informação ao Cidadão
29,Leandro Machado,46,"Distrito Novaes, 860
Barreiro
12052-582 Azevedo / AL",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
30,Ana Luiza Leão,38,"Estrada Freitas, 74
Zilah Sposito
19616707 Vieira / SP",sudema,Licença por Adesão e Compromisso,cinep,Concessão de Incentivo Fiscal a Empresas
31,Maria Júlia Moraes,36,"Estrada Joana Leão, 260
Andiroba
46345345 Rocha das Flores / SP",detran,RENOVAÇÃO DA CNH SIMPLES,cinep,Concessão de Incentivo Fiscal a Empresas
32,Maitê Pimenta,33,"Pátio Garcia, 188
Senhor Dos Passos
24579808 das Neves / GO",cbmpb,Socorro de Emergências,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
33,Agatha Cirino,37,"Núcleo Eduardo Aragão, 29
Vila Da Paz
55667360 Novais / SE",cagepa,LIGAÇÃO DE ÁGUA,detran,PRIMEIRA HABILITAÇÃO
34,Olivia Guerra,30,"Praia Cecília Vasconcelos, 5
Embaúbas
34529504 Porto do Amparo / GO",cagepa,ATUALIZAÇÃO CADASTRAL,detran,PRIMEIRA HABILITAÇÃO
35,Luiz Henrique Pires,32,"Jardim de Mendonça, 51
Ademar Maldonado
13035-751 Duarte das Flores / RR",detran,RENOVAÇÃO DA CNH SIMPLES,funade,Serviço Especializado em Triagem e Diagnóstico
36,Dra. Lívia Cassiano,32,"Jardim Cirino
Nossa Senhora De Fátima
06800856 Pastor / MA",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cagepa,ATUALIZAÇÃO CADASTRAL
37,Ravi Lucca Novais,18,"Favela Isabella Siqueira, 2
Minas Caixa
56945-306 Aragão do Oeste / RS",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,funade,Serviço de Informação ao Cidadão
38,Kamilly Castro,30,"Conjunto Laura Araújo
Pindorama
14077-164 da Cunha / RO",sudema,Licença de Operação para Pesquisa Mineral,funade,Serviço Especializado em Triagem e Diagnóstico
39,Sr. Pedro Lucas Peixoto,40,"Área de Cavalcanti, 2
Canaa
20012977 Albuquerque de Minas / ES",detran,INDICAÇÃO DE CONDUTOR INFRATOR,detran,RENOVAÇÃO DA CNH SIMPLES
40,Sr. Benjamim Cavalcanti,35,"Residencial de Correia, 81
Oeste
13122-277 Novais / SP",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cbmpb,Perícia de Incêndio e Explosão
41,Milena da Cunha,30,"Estação Cirino, 5
Nova Floresta
61686230 Novaes / AP",funade,Serviço de Informação ao Cidadão,funade,Serviço Especializado em Triagem e Diagnóstico
42,Olivia Cunha,56,"Loteamento Gabriela Gonçalves, 46
Sion
46046727 Camargo Grande / BA",sudema,Licença por Adesão e Compromisso,cagepa,ATUALIZAÇÃO CADASTRAL
43,Manuella Pimenta,33,"Residencial Eloá Andrade, 5
Conjunto Califórnia I
39497-630 Ramos / GO",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
44,Sr. Caio Sá,37,"Colônia de Guerra, 81
Grota
52767-925 Caldeira / RO",funade,Serviço Especializado em Triagem e Diagnóstico,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
45,Pedro Lucas Siqueira,34,"Praça Davi Miguel Duarte
Candelaria
28092-451 Moura de Borges / AL",cinep,Concessão de Incentivo Locacional a Empresas,detran,INDICAÇÃO DE CONDUTOR INFRATOR
46,Cecilia Vasconcelos,21,"Pátio Correia
Aarão Reis
75727-397 Oliveira / ES",detran,PRIMEIRA HABILITAÇÃO,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
47,Ana Sophia Vargas,29,"Quadra Novais, 587
Ouro Preto
40386-783 Nunes / MA",funade,Serviço Especializado em Triagem e Diagnóstico,cagepa,ATUALIZAÇÃO CADASTRAL
48,Rodrigo Leão,19,"Vale de Rios, 584
Estoril
02276961 Pimenta de Goiás / PB",cinep,Concessão de Incentivo Locacional a Empresas,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
49,Thomas Pacheco,33,"Praia de Cassiano, 67
Granja De Freitas
56440-237 da Costa de Minas / MS",cbmpb,Perícia de Incêndio e Explosão,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
50,Caleb Costa,27,"Colônia Ana Laura Sales, 36
Tirol
10924-054 Macedo / SE",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,cagepa,ATUALIZAÇÃO CADASTRAL
51,Eduarda Fogaça,35,"Campo Castro, 95
Nova Floresta
90688624 Fogaça / PR",cagepa,LIGAÇÃO DE ÁGUA,cbmpb,Socorro de Emergências
52,Dr. Benjamin Freitas,27,"Condomínio Daniel Machado, 7
Alta Tensão 1ª Seção
98516936 Câmara / AM",cinep,Concessão de Incentivo Locacional a Empresas,cinep,Concessão de Incentivo Fiscal a Empresas
53,Luiz Henrique Caldeira,49,"Trecho Moura, 76
Belvedere
95403710 da Cruz / RN",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,sudema,Licença de Operação para Pesquisa Mineral
54,Dra. Luana Gonçalves,18,"Viaduto Natália Castro, 38
São Cristóvão
44130-130 Martins do Campo / SC",cagepa,LIGAÇÃO DE ÁGUA,cagepa,ATUALIZAÇÃO CADASTRAL
55,Sra. Manuella Leão,30,"Trecho Luiz Miguel Cardoso, 98
Vila Coqueiral
03369793 Farias / ES",sudema,Licença por Adesão e Compromisso,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
56,Erick Leão,37,"Chácara de Novais, 99
Minas Brasil
25683-378 da Rosa / AM",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,sudema,Licença por Adesão e Compromisso
57,Dra. Heloísa Fernandes,45,"Jardim Letícia da Luz, 50
Vila Santa Monica 2ª Seção
41865570 Montenegro / SE",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
58,Maria Luiza da Paz,37,"Praia Guerra, 554
Ventosa
72180-939 Farias do Norte / SP",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,detran,PRIMEIRA HABILITAÇÃO
59,Camila Fonseca,51,"Rodovia Montenegro, 144
Vila Primeiro De Maio
32089-152 Teixeira Paulista / RS",funade,Serviço Especializado em Triagem e Diagnóstico,cbmpb,Perícia de Incêndio e Explosão
60,Dante Vasconcelos,42,"Rua Pereira
Novo Tupi
51120818 Pereira / DF",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
61,Aurora Mendonça,37,"Fazenda Souza, 1
Nossa Senhora Da Conceição
41784872 Viana da Prata / AP",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cagepa,ATUALIZAÇÃO CADASTRAL
62,Luiz Henrique Oliveira,49,"Conjunto de Machado, 273
Vila Nova Cachoeirinha 3ª Seção
22370284 Borges de Minas / SE",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,cinep,Concessão de Incentivo Locacional a Empresas
63,Benjamin Cardoso,36,"Lago Rodrigues, 32
Planalto
73897-825 Viana / GO",detran,RENOVAÇÃO DA CNH SIMPLES,funade,Serviço Especializado em Triagem e Diagnóstico
64,Sarah da Luz,41,"Vale Maria Luiza Pereira, 132
Vila São Geraldo
48812401 Viana da Mata / RS",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,cbmpb,Perícia de Incêndio e Explosão
65,Maria Julia Barbosa,44,"Viela Vargas, 91
Rio Branco
68649-458 Montenegro do Norte / MS",cbmpb,Perícia de Incêndio e Explosão,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
66,Theo Cunha,44,"Condomínio Luara Pastor, 98
Cinquentenário
81697-782 Pires Paulista / BA",funade,Aquisição da Carteira de Passe Livre Intermunicipal,sudema,Licença por Adesão e Compromisso
67,Bianca Leão,22,"Lagoa Cecília Aparecida, 142
Vila Cloris
52952-261 Teixeira / ES",cagepa,LIGAÇÃO DE ÁGUA,cbmpb,Socorro de Emergências
68,Kamilly Pires,18,"Campo Davi Miguel Correia, 61
Comiteco
90781944 Farias / RJ",cbmpb,Socorro de Emergências,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
69,Luiz Henrique Porto,25,"Aeroporto Isabel Almeida, 17
Dona Clara
05375867 Mendonça / RN",sudema,Licença por Adesão e Compromisso,cinep,Concessão de Incentivo Fiscal a Empresas
70,Maria Martins,37,"Lagoa João Felipe Nascimento, 49
Vila Madre Gertrudes 4ª Seção
12242356 Farias das Pedras / RN",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
71,Benicio Cavalcante,37,"Favela Lopes, 37
Vila Betânia
85827308 Nunes do Galho / PE",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cbmpb,Perícia de Incêndio e Explosão
72,Eduardo das Neves,45,"Quadra Viana, 246
Vila Inestan
54530104 Leão Grande / SE",cbmpb,Perícia de Incêndio e Explosão,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
73,Dra. Luana Viana,29,"Avenida Zoe Vasconcelos, 2
Maria Tereza
70061-902 Pereira do Oeste / AL",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),cinep,Concessão de Incentivo Locacional a Empresas
74,Laura Porto,35,"Quadra Liz Silva, 46
Pantanal
02808-346 Rezende Alegre / GO",funade,Serviço de Informação ao Cidadão,cagepa,LIGAÇÃO DE ÁGUA
75,Antony Caldeira,22,"Morro Abreu, 5
Vila Cloris
02174347 Gonçalves do Norte / AP",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,sudema,Licença de Operação para Pesquisa Mineral
76,Henry da Cunha,22,"Setor Fernando Moraes
Coração De Jesus
91236818 Freitas / AM",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,sudema,Licença por Adesão e Compromisso
77,Isaac Macedo,47,"Núcleo Barros, 60
Vila Nova
27219-020 Souza Verde / RS",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,cbmpb,Socorro de Emergências
78,Liam Mendonça,35,"Jardim Barbosa
Vila Jardim Montanhes
57084836 da Paz da Mata / RN",detran,RENOVAÇÃO DA CNH SIMPLES,detran,PRIMEIRA HABILITAÇÃO
79,Dr. Vitor Carvalho,50,"Núcleo Gabriel Sousa, 293
São Benedito
37277887 Rocha de Goiás / SC",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
80,Luísa da Cunha,30,"Viaduto Nunes, 114
Carmo
95391534 Borges / AC",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),cinep,Concessão de Incentivo Locacional a Empresas
81,Mariana Rocha,46,"Conjunto Alexia Fernandes, 91
Novo Glória
91584370 da Costa / PA",cinep,Concessão de Incentivo Fiscal a Empresas,sudema,Licença por Adesão e Compromisso
82,Maya Santos,42,"Rodovia de Aparecida, 189
São João
08823-521 Siqueira do Sul / MA",sudema,Licença por Adesão e Compromisso,cinep,Concessão de Incentivo Fiscal a Empresas
83,Luiz Fernando Mendonça,44,"Fazenda de Casa Grande, 54
Nossa Senhora Do Rosário
62025925 Sousa / CE",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,cagepa,ATUALIZAÇÃO CADASTRAL
84,Maria Helena da Paz,32,"Praça de Farias, 653
Beija Flor
36574-953 Caldeira / CE",detran,RENOVAÇÃO DA CNH SIMPLES,cbmpb,Socorro de Emergências
85,Maitê Casa Grande,32,"Estação da Cunha, 727
Vila Da Paz
21266574 Costela / AM",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,detran,PRIMEIRA HABILITAÇÃO
86,Ana Laura Mendonça,18,"Passarela da Costa, 5
Lindéia
24937040 Rocha / PE",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),cagepa,LIGAÇÃO DE ÁGUA
87,Dra. Anna Liz Farias,42,"Ladeira Azevedo, 39
Vila Madre Gertrudes 4ª Seção
59369-756 da Rocha do Amparo / MS",detran,PRIMEIRA HABILITAÇÃO,funade,Aquisição da Carteira de Passe Livre Intermunicipal
88,Sr. Arthur Miguel Nascimento,39,"Ladeira de Dias, 93
Floramar
41450-484 da Mata / DF",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
89,Luiz Henrique da Cunha,31,"Praia Brito, 893
Flavio De Oliveira
41202-567 Costela do Galho / AP",sudema,Licença de Operação para Pesquisa Mineral,cbmpb,Perícia de Incêndio e Explosão
90,Sr. Luiz Otávio Martins,35,"Ladeira de Cirino
Barro Preto
84202823 Oliveira do Amparo / DF",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),sudema,Licença de Operação para Pesquisa Mineral
91,Dr. Arthur Gabriel Dias,30,"Travessa de Cavalcante, 307
Vila Engenho Nogueira
86361424 Peixoto / RS",cinep,Concessão de Incentivo Locacional a Empresas,detran,RENOVAÇÃO DA CNH SIMPLES
92,Brenda Gomes,35,"Favela de Ribeiro, 33
Novo Das Industrias
25845-442 Sales / SC",cinep,Concessão de Incentivo Fiscal a Empresas,detran,PRIMEIRA HABILITAÇÃO
93,João Pedro Cavalcanti,37,"Estrada Novais, 42
Diamante
68110-075 Pires do Campo / SE",funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA,detran,RENOVAÇÃO DA CNH SIMPLES
94,Sr. Ryan Jesus,44,"Viela de Garcia, 96
Vila Boa Vista
60895753 Aragão / PR",funade,Serviço Especializado em Triagem e Diagnóstico,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
95,Pedro Sampaio,35,"Aeroporto Maria Fernanda Sampaio, 465
Conjunto Califórnia I
89183670 Rios Grande / ES",cinep,Concessão de Incentivo Locacional a Empresas,detran,RENOVAÇÃO DA CNH SIMPLES
96,Ana Lívia Borges,37,"Recanto Cauê Santos, 44
Vila Nova Cachoeirinha 3ª Seção
48217184 Barros de Minas / BA",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO
97,Kevin Fernandes,53,"Rua de Vieira, 36
Barão Homem De Melo 1ª Seção
03590-641 da Luz / MA",cbmpb,Socorro de Emergências,funade,Aquisição da Carteira de Passe Livre Intermunicipal
98,Isaac Siqueira,18,"Trecho de Moreira
Vila Boa Vista
14398-346 Pastor Paulista / MG",detran,PRIMEIRA HABILITAÇÃO,cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança
99,Heitor das Neves,18,"Vila de Mendonça, 243
Araguaia
73436-418 Sampaio do Galho / MS",detran,PRIMEIRA HABILITAÇÃO,cagepa,LIGAÇÃO DE ÁGUA
100,Ana Clara Moraes,40,"Setor Azevedo, 66
Baleia
45431140 Novaes do Oeste / RR",funade,Serviço Especializado em Triagem e Diagnóstico,cagepa,LIGAÇÃO DE ÁGUA
101,Benjamim Moraes,35,"Recanto de Brito, 1
Trevo
99302-913 Souza / SE",cinep,Concessão de Incentivo Locacional a Empresas,detran,INDICAÇÃO DE CONDUTOR INFRATOR
102,Mariane Souza,25,"Estação Henry Vasconcelos
Copacabana
28281-050 das Neves Grande / GO",cbmpb,Socorro de Emergências,cinep,Concessão de Incentivo Locacional a Empresas
103,Yan Macedo,36,"Loteamento Stephany da Mata, 4
Vila São João Batista
64192-236 Leão do Sul / BA",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),cbmpb,Socorro de Emergências
104,Stella Vasconcelos,24,"Viela de Novaes, 40
Baleia
03727520 Albuquerque das Pedras / MT",detran,INDICAÇÃO DE CONDUTOR INFRATOR,cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO
105,Sr. Benício da Rocha,24,"Praia João Vitor Teixeira, 67
Marieta 2ª Seção
14866-258 Vasconcelos / ES",detran,INDICAÇÃO DE CONDUTOR INFRATOR,sudema,Licença por Adesão e Compromisso
106,Theodoro Pinto,31,"Colônia de Moreira, 1
Nova Granada
47794-383 Andrade / MS",cagepa,LIGAÇÃO DE ÁGUA,cbmpb,Socorro de Emergências
107,Sr. Léo da Mata,30,"Lagoa da Mota, 97
Independência
18443953 Azevedo da Serra / MT",funade,Aquisição da Carteira de Passe Livre Intermunicipal,sudema,Licença por Adesão e Compromisso
108,Dra. Bianca Nunes,37,"Favela Gael Henrique Fernandes, 62
Flavio Marques Lisboa
95343-684 Machado / RR",cinep,Concessão de Incentivo Locacional a Empresas,cagepa,LIGAÇÃO DE ÁGUA
109,João Pedro da Conceição,22,"Praça de Oliveira, 297
Monsenhor Messias
21080-725 Marques de Viana / MG",cbmpb,Consulta Técnica: Esclarecimento de Dúvidas para Sua Segurança,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
110,Ísis Rocha,24,"Estação Letícia da Conceição, 82
Acaba Mundo
95975300 Farias dos Dourados / CE",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),funade,Serviço Especializado em Triagem e Diagnóstico
111,Juliana Novaes,27,"Trecho da Cunha, 7
Nova America
79747-666 Cavalcanti de Pacheco / RN",cbmpb,Perícia de Incêndio e Explosão,detran,INDICAÇÃO DE CONDUTOR INFRATOR
112,Luna da Cruz,44,"Ladeira Campos, 155
Satelite
25408877 Sá / PA",cinep,Concessão de Incentivo Fiscal a Empresas,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
113,Elisa Guerra,18,"Favela Paulo Castro, 12
Vila Dos Anjos
68489091 da Conceição Verde / AM",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
114,Sra. Evelyn Lopes,29,"Vila Lunna Moraes, 66
Caiçaras
21422245 Vasconcelos / RJ",cagepa,LIGAÇÃO DE ÁGUA,cinep,Concessão de Incentivo Fiscal a Empresas
115,Antonella Teixeira,29,"Favela Viana, 89
Jardim Alvorada
22949252 Borges / AC",sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA),sudema,Licença de Operação para Pesquisa Mineral
116,Benjamin Martins,38,"Passarela de Dias, 40
Vila São Paulo
95181794 Dias / SP",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,cinep,Concessão de Incentivo Locacional a Empresas
117,Joaquim Ferreira,39,"Estação Gomes, 4
Tres Marias
11773513 Borges de Campos / SE",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,sudema,Licença de Alteração - Divisão de Infraestrutura (DINFRA)
118,Dom Andrade,18,"Chácara Agatha Castro
Vila Boa Vista
99261563 da Mata Alegre / SP",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,detran,PRIMEIRA HABILITAÇÃO
119,Liam da Costa,24,"Praça Vitor Gabriel Alves, 72
Serrano
25190754 Novais / SC",cagepa,DESOBSTRUÇÃO DE RAMAL DE ESGOTO,sudema,Licença de Operação para Pesquisa Mineral
120,Amanda Pereira,44,"Ladeira Bárbara Araújo, 741
Vila Boa Vista
95394-465 Novaes de Goiás / AC",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,cbmpb,Perícia de Incêndio e Explosão
121,Luiza Rios,25,"Jardim de Marques, 3
Vila Suzana Segunda Seção
79169-051 Moreira do Oeste / DF",cagepa,SEGUNDA VIA DE CONTA DE ÁGUA E ESGOTO,detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO
122,Vitor Gabriel Barros,26,"Quadra Rodrigo Correia, 58
Vila Coqueiral
04580683 Pacheco / PA",cinep,Concessão de Incentivo Locacional a Empresas,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
123,Caleb Fernandes,21,"Setor de Correia
Baleia
61916-699 da Cruz / PR",sudema,Licença por Adesão e Compromisso,cinep,Concessão de Incentivo Fiscal a Empresas
124,Alexandre Nogueira,31,"Travessa Heloisa da Luz, 3
Lagoa
28196-279 Sá de Novais / ES",funade,Serviço de Informação ao Cidadão,cinep,Concessão de Incentivo Locacional a Empresas
125,Heloisa da Cunha,28,"Estação Isaque da Conceição
Canaa
26989-627 Moraes / MG",funade,Aquisição da Carteira de Passe Livre Intermunicipal,funade,AQUISIÇÃO DE CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIPTEA
126,Lorenzo Câmara,36,"Via Oliveira, 6
Novo São Lucas
79176935 Câmara / ES",cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado,funade,Serviço Especializado em Triagem e Diagnóstico
127,Eduardo Souza,30,"Favela Vitória Barros
Céu Azul
90268872 Cardoso da Mata / SE",detran,MUDANÇA DE CATEGORIA - HABILITAÇÃO,cbmpb,Análise de Projeto de Segurança contra Incêndio Simplificado
